is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,,,,,"[0.936, 'Tom Alberg', 'Person']"
False,Person,Jeff Bezos,,,,,,,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,"[0.648, 'ThinkBig', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.5761, 'National Enquirer', 'Other']"
False,Person,Jeff Bezos,Brand,The Washington Post,,,,,,,,,"[0.5576, 'SuperBowlAd', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,"[0.45, 'Alexa', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.5608, 'Bezos', 'Other']"
False,Events [Entity Service],Veterans Day 2018,Holiday,Veterans Day 2018,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,"[0.5683, 'Amazon Air 767', 'Organization']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,Product,Amazon - AI,,,"[0.547, 'Amazon Future Engineer', 'Other']"
False,Person,Jeff Bezos,Brand Vertical,Government/Education,Brand Vertical,Retail industry,Entities [Entity Service],Defense - Government/Education,Entities [Entity Service],Online - Retail,Brand,Amazon,"[0.9684, 'Amazon', 'Organization']"
False,News Vertical,US national news,Person,Jeff Bezos,,,,,,,,,"[0.9625, 'Paul Allen', 'Person']"
False,Political Body,United States Air Force,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,"[0.6936, 'NewGlenn', 'Other']"
False,Person,Bernie Sanders,Person,Jeff Bezos,Politician,Bernie Sanders,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,"[0.5712, 'Vulcan', 'Other']"
False,TV Shows,The Marvelous Mrs. Maisel,TV Shows,70th Emmy Awards,Events [Entity Service],Primetime Emmy Awards 2018,Award Show,Primetime Emmy Awards 2018,Person,Jeff Bezos,,,"[0.9208, 'Emmys', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,"[0.7166, 'Blue Team', 'Other']"
False,Person,Jeff Bezos,Place,Texas,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,"[0.9169, 'West Texas', 'Place']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,"[0.7632, 'Crew Capsule', 'Other']"
False,TV Shows,2017 Special Olympics World Games: Austria,Sports Event,Special Olympics USA Games 2018,Events [Entity Service],Special Olympics USA Games 2018,Person,Jeff Bezos,,,,,"[0.5116, 'Amazonian', 'Other']"
False,Person,Jeff Bezos,Place,Cuba,,,,,,,,,"[0.9731, 'Cuba', 'Place']"
False,Person,Jeff Bezos,,,,,,,,,,,
False,Events [Entity Service],Memorial Day 2018,Holiday,Memorial Day 2018,Person,Jeff Bezos,,,,,,,
False,Person,Tom Wolfe,News Vertical,World news,Journalist,Tom Wolfe,Person,Jeff Bezos,News Vertical,World news,,,"[0.9823, 'Tom Wolfe', 'Person']"
False,Person,Jeff Bezos,,,,,,,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,"[0.3682, 'Emerson', 'Place']"
False,Person,Conan O'Brien,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,Entertainment Personality,Conan O'Brien,,,
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,"[0.5445, 'Nerf', 'Other']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,"[0.6272, 'GradatimFerociter', 'Other']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,"[0.5963, 'New Shepard', 'Place']"
False,Reoccurring Trends,Earth Day 2018,Person,Jeff Bezos,Place,Norway,Entities [Entity Service],Aerospace,Brand,Blue Origin,Entities [Entity Service],Science,"[0.4138, 'Arctic Circle', 'Other']"
False,Person,Barbara Bush,News Vertical,World news,Person,Jeff Bezos,,,,,,,"[0.8197, 'Ken Hersh', 'Person']"
False,TV Shows,Westworld,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Multi-Purpose Department - Retail,Brand,Best Buy,,,"[0.6994, 'Hubert Joly', 'Person']"
False,News Vertical,World news,Person,Jeff Bezos,Place,Moscow,Brand,The New York Times,Brand,The Washington Post,,,"[0.9747, 'Alabama', 'Place']"
False,Person,Dwayne Johnson,Person,Jeff Bezos,Actor,Dwayne Johnson,,,,,,,"[0.9609, 'Dwayne Johnson', 'Person']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.8307, 'Rampage', 'Other']"
False,Person,Ciara,Person,Russell Wilson,Person,Jeff Bezos,Place,Seattle,Musician,Ciara,Music Genre,R&B and soul,"[0.9273, 'Seattle', 'Place']"
False,Person,Jeff Bezos,Entities [Entity Service],Services,Brand,Google ,Brand,YouTube,,,,,"[0.9664, 'YouTube', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.7797, 'MARS2018', 'Other']"
False,TV Shows,Mad Men,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Entities [Entity Service],Aerospace,Brand,Amazon,
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,"[0.5418, 'Blue', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.8684, 'Kirk', 'Person']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,Product,Amazon Studios,,,"[0.984, 'Amazon Studios', 'Organization']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.5648, '10000YearClock', 'Other']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,SpaceX,Brand,Blue Origin,,,,,"[0.923, 'Falcon Heavy', 'Other']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,Entities [Entity Service],Science,,,,,"[0.4242, 'Perito Moreno Glacier', 'Other']"
False,TV Shows,The Marvelous Mrs. Maisel,TV Shows,The 75th Annual Golden Globe Awards,TV Episodes,The 75th Annual Golden Globe Awards,Person,Rachel Brosnahan,Person,Kevin Bacon,Events [Entity Service],The 75th Annual Golden Globe Awards 2018,"[0.8098, 'THE MARVELOUS MRS MAISEL', 'Other']"
False,Person,Jeff Bezos,Place,Madrid,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,,,"[0.964, 'Amazon', 'Organization']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,"[0.8541, 'Blue2D2', 'Other']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,"[0.9285, 'Mannequin Skywalker', 'Person']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,"[0.3776, 'NewShepard', 'Organization']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,Product,Amazon Web Services (AWS),Entities [Entity Service],Food,"[0.7202, 'AWS', 'Organization']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.9302, 'Kindle', 'Product']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,Product,Amazon Prime,,,"[0.9213, 'Amazon Prime', 'Other']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,,,,,"[0.4902, 'Casey', 'Other']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,,,,,"[0.9649, 'Amazon', 'Organization']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Multi-Purpose Department - Retail,Brand,Best Buy,,,,,"[0.5885, 'Alexa', 'Other']"
False,Person,Jeff Bezos,Brand,The Washington Post,,,,,,,,,"[0.485, 'DMNA17', 'Other']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,"[0.5379, 'BE-4', 'Other']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,,,,,"[0.9736, 'Amazon', 'Organization']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.394, 'Ishiguro', 'Person']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,,,,,"[0.9161, 'Amazon', 'Organization']"
False,Person,Jeff Bezos,Place,Las Vegas,,,,,,,,,"[0.9805, 'Las Vegas', 'Place']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,Product,Amazon - AI,,,"[0.4672, 'Ryan', 'Other']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Entities [Entity Service],Aerospace,Brand,Amazon,Brand,Blue Origin,
False,Person,Jeff Bezos,,,,,,,,,,,"[0.8016, 'Alexa', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,
False,Person,Jeff Bezos,Person,James Mattis,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,,,"[0.9595, 'James Mattis', 'Person']"
False,Person,Jeff Bezos,,,,,,,,,,,
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,Entities [Entity Service],Science,,,,,"[0.5629, 'Earth', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.9766, 'Mike Collins', 'Person']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,"[0.6114, 'Buzz', 'Other']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,"[0.7496, 'Oshkosh', 'Place']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.5093, 'Haggler', 'Other']"
False,Person,Narendra Modi,Person,Jeff Bezos,Place,India,Politician,Narendra Modi,,,,,"[0.9777, 'India', 'Place']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,
False,Movie,Wonder Woman,Movie Genre,Action & adventure films,Movie Genre,Sci-fi & fantasy films,Person,Jeff Bezos,Brand Vertical,CPG,Entities [Entity Service],Child Care - CPG,"[0.8489, 'Lego Saturn V', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,"[0.9889, 'Baltimore', 'Place']"
False,Person,Jeff Bezos,Interests and Hobbies,General Fashion,Interests and Hobbies,Shoes,,,,,,,"[0.5231, 'Jeff', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,"[0.688, 'TheSpheres', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,"[0.8669, 'Hankook Mirae Technology', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.9638, 'LA Times', 'Other']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,"[0.6112, 'NewGlenn', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.7334, 'NewGlenn', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.6387, 'BE-4', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.4855, 'BE', 'Other']"
False,TV Shows,Academy Awards 2018,TV Shows,Los Premios Oscar 2015,TV Shows,Premios Oscar 2016,TV Shows,Premios Oscar 2016,TV Shows,The 89th Academy Awards,TV Shows,89th Academy Awards,"[0.8344, 'Casey Affleck', 'Person']"
False,TV Shows,Academy Awards 2018,TV Shows,Los Premios Oscar 2015,TV Shows,Premios Oscar 2016,TV Shows,Premios Oscar 2016,TV Shows,The 89th Academy Awards,TV Shows,The 89th Academy Awards,"[0.9611, 'Kenny Lonergan', 'Person']"
False,TV Shows,Academy Awards 2018,TV Shows,Los Premios Oscar 2015,TV Shows,Premios Oscar 2016,TV Shows,Premios Oscar 2016,TV Shows,The 89th Academy Awards,TV Shows,89th Academy Awards,"[0.7137, 'TheSalesman', 'Other']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,,,,,
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Brand Vertical,CPG,Entities [Entity Service],Beauty/Hygiene - CPG,Entities [Entity Service],Online - Retail,Brand,Amazon,"[0.9156, 'Amazon FC', 'Organization']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.5539, 'NYPost', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,"[0.4875, 'Buzz Aldrin', 'Other']"
False,,,,,,,,,,,,,
False,,,,,,,,,,,,,"[0.4788, 'AmazonPrimeAir', 'Other']"
False,,,,,,,,,,,,,"[0.4105, 'The Spheres', 'Organization']"
False,TV Shows,The Walking Dead,,,,,,,,,,,"[0.9658, 'John Glenn', 'Person']"
False,TV Shows,The Late Late Show With James Corden,TV Shows,The Late Late Show With James Corden,TV Episodes,Lily Tomlin; Alison Sudol; Reggie Watts; Madonna,Brand Vertical,Retail industry,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,"[0.6964, 'Late', 'Other']"
False,,,,,,,,,,,,,"[0.7853, 'TED talk', 'Other']"
False,Product,Amazon Prime,,,,,,,,,,,"[0.9382, 'Amazon Prime', 'Other']"
False,TV Shows,The Grand Tour,,,,,,,,,,,"[0.5715, 'Clarkson', 'Person']"
False,Political Race,2016 US Elections,,,,,,,,,,,
False,,,,,,,,,,,,,
False,,,,,,,,,,,,,"[0.6391, 'Raisbeck Aviation High School', 'Organization']"
False,,,,,,,,,,,,,"[0.4729, 'New Shepard', 'Other']"
False,,,,,,,,,,,,,"[0.7606, 'MaxQ', 'Other']"
False,,,,,,,,,,,,,"[0.5546, 'InFlightEscape', 'Other']"
False,,,,,,,,,,,,,"[0.7122, 'Blue Origin', 'Other']"
False,,,,,,,,,,,,,
False,,,,,,,,,,,,,"[0.5987, 'GradatimFerociter', 'Other']"
False,,,,,,,,,,,,,"[0.7046, 'NewGlenn', 'Other']"
False,,,,,,,,,,,,,"[0.5418, 'NewGlenn', 'Place']"
False,,,,,,,,,,,,,
False,,,,,,,,,,,,,"[0.7385, 'Blue Origin', 'Organization']"
False,TV Shows,Italian politics,,,,,,,,,,,"[0.591, 'Amazon', 'Organization']"
False,TV Shows,Italian politics,,,,,,,,,,,
False,,,,,,,,,,,,,"[0.9175, 'Apollo 11 Command Module', 'Other']"
False,,,,,,,,,,,,,"[0.4986, 'Cast', 'Other']"
False,,,,,,,,,,,,,
False,,,,,,,,,,,,,
False,,,,,,,,,,,,,"[0.5451, 'GradatimFerociter', 'Other']"
False,,,,,,,,,,,,,"[0.6065, 'GradatimFerociter', 'Other']"
False,,,,,,,,,,,,,"[0.5304, 'GradatimFerociter', 'Other']"
False,,,,,,,,,,,,,"[0.502, 'GradatimFerociter', 'Other']"
False,TV Shows,Extra,,,,,,,,,,,"[0.896, ""Father's Day"", 'Other']"
False,,,,,,,,,,,,,"[0.2662, 'Shepard', 'Other']"
False,,,,,,,,,,,,,
False,,,,,,,,,,,,,"[0.5444, 'GradatimFerociter', 'Other']"
False,,,,,,,,,,,,,"[0.5359, 'GradatimFerociter', 'Other']"
False,,,,,,,,,,,,,"[0.869, 'GH2', 'Other']"
False,,,,,,,,,,,,,
False,,,,,,,,,,,,,"[0.5214, 'Alexa', 'Other']"
False,TV Shows,The Newsroom,TV Shows,The Newsroom,,,,,,,,,"[0.563, 'Champagne', 'Other']"
False,,,,,,,,,,,,,"[0.9767, 'Bill Campbell', 'Person']"
False,,,,,,,,,,,,,"[0.6809, 'Jeff', 'Other']"
False,,,,,,,,,,,,,"[0.9271, 'Kindle', 'Product']"
False,,,,,,,,,,,,,
False,,,,,,,,,,,,,"[0.6089, 'GradatimFerociter', 'Other']"
False,,,,,,,,,,,,,"[0.6715, 'Gradatim Ferociter', 'Other']"
False,,,,,,,,,,,,,"[0.3827, 'LaunchLandRepeat', 'Organization']"
False,,,,,,,,,,,,,"[0.5548, 'BE', 'Other']"
False,,,,,,,,,,,,,"[0.5996, 'Liftoff', 'Person']"
False,,,,,,,,,,,,,"[0.7175, 'Crew Capsule', 'Other']"
False,,,,,,,,,,,,,"[0.9639, 'TX', 'Place']"
False,,,,,,,,,,,,,
False,,,,,,,,,,,,,"[0.5744, 'LaunchLandRepeat', 'Other']"
False,,,,,,,,,,,,,"[0.7921, 'RCS', 'Other']"
False,,,,,,,,,,,,,
False,TV Shows,WORKING!!,,,,,,,,,,,"[0.4743, 'LaunchLandRepeat', 'Other']"
False,,,,,,,,,,,,,"[0.8565, 'Amazon Robotics', 'Other']"
False,,,,,,,,,,,,,"[0.5719, 'Echo', 'Other']"
False,TV Shows,Fórmula 1,TV Episodes,Fórmula 1,,,,,,,,,"[0.9508, 'James Hamilton', 'Person']"
False,,,,,,,,,,,,,"[0.4955, 'Marty', 'Person']"
False,,,,,,,,,,,,,"[0.953, 'Einstein', 'Person']"
False,TV Shows,Italian politics,,,,,,,,,,,"[0.7985, 'Diego', 'Person']"
False,,,,,,,,,,,,,"[0.643, 'Blue Origin', 'Organization']"
False,,,,,,,,,,,,,
False,,,,,,,,,,,,,"[0.9407, 'Falcon 9', 'Other']"
False,TV Shows,WORKING!!,,,,,,,,,,,"[0.9549, 'Fred Ryan', 'Person']"
False,,,,,,,,,,,,,"[0.5505, 'Jason', 'Person']"
False,,,,,,,,,,,,,
False,,,,,,,,,,,,,"[0.8275, 'Grail', 'Other']"
False,,,,,,,,,,,,,"[0.611, 'Falcon', 'Other']"
False,,,,,,,,,,,,,"[0.7037, 'Blue Origin rocket', 'Other']"
False,,,,,,,,,,,,,
False,,,,,,,,,,,,,"[0.6201, 'Energy Coalition', 'Other']"
False,,,,,,,,,,,,,
